departamento,NRO.,MUNICIPIO,ENTIDAD,DIRECCIÓN,query_address,country,admin_area,lon,lat
TARIJA ,27,TARIJA,Banco Unión S.A.,"Avenida Jaime Paz Zamora N 2379, zona Juan XXIII.","Avenida Jaime Paz Zamora N 2379, zona Juan XXIII. TARIJA",BO,TARIJA ,-64.7125964,-21.5432084
TARIJA ,28,TARIJA,Banco Unión S.A.,"Avenida Gamoneda esquina Avenida Circunvalación s/n, zona sureste.","Avenida Gamoneda esquina Avenida Circunvalación s/n, zona sureste. TARIJA",BO,TARIJA ,-64.7164196,-21.5336095
TARIJA ,29,TARIJA,Cooperativa de Ahorro y Crédito Abierta El Chorolque Ltda.,Calle Ingavi Nro. 239 Esquina Daniel Campos - Edificio Concordia,Calle Ingavi Nro. 239 Esquina Daniel Campos - Edificio Concordia TARIJA,BO,TARIJA ,-64.7328186,-21.5332801
TARIJA ,30,TARIJA,"Cooperativa de Ahorro y Crédito Abierta ""Madre y Maestra"" R.L.",c. FRAY MANUEL MINGO No 0573,c. FRAY MANUEL MINGO No 0573 TARIJA,BO,TARIJA ,-64.7343944,-21.5291582
TARIJA ,31,TARIJA,Cooperativa de Ahorro y Crédito Abierta Magisterio Rural R.L.,Calle Campero # 726,Calle Campero # 726 TARIJA,BO,TARIJA ,NA,NA
TARIJA ,32,TARIJA,CIDRE IFD,"AV. PANAMERICANA Nº 1161, ENTRE GUADALQUIVIR Y PASAJE SALOMÓN BENITEZ - ATENDERÁ DE 7:00 A 12:00","AV. PANAMERICANA Nº 1161, ENTRE GUADALQUIVIR Y PASAJE SALOMÓN BENITEZ - ATENDERÁ DE 7:00 A 12:00 TARIJA",BO,TARIJA ,-64.72956669999999,-21.5177889
TARIJA ,33,TARIJA,CIDRE IFD,"AVENIDA PANAMERICANA  S/N, ZONA SAN JORGE - ATENDERÁ DE 7:00 A 12:00","AVENIDA PANAMERICANA  S/N, ZONA SAN JORGE - ATENDERÁ DE 7:00 A 12:00 TARIJA",BO,TARIJA ,-64.72956669999999,-21.5177889
TARIJA ,34,TARIJA,IDEPRO IFD,"Calle Ingavi Nro. 339 entre calle General Trigo y calle Sucre, ciudad de Tarija","Calle Ingavi Nro. 339 entre calle General Trigo y calle Sucre, ciudad de Tarija TARIJA",BO,TARIJA ,-64.7339784,-21.53276
TARIJA ,35,TARIJA,La Primera Entidad Financiera de Vivienda,Plaza Luis de Fuentes N.552 entre Calles Madrid y 15 de Abril,Plaza Luis de Fuentes N.552 entre Calles Madrid y 15 de Abril TARIJA,BO,TARIJA ,-64.7335464,-21.5345815
TARIJA ,36,TARIJA,CRECER IFD,C/La Madrid N°253,C/La Madrid N°253 TARIJA,BO,TARIJA ,-64.73439280000001,-21.5334748
TARIJA ,37,TARIJA,CRECER IFD,"Av.Panamericana N° 2117, Z/ Campesino","Av.Panamericana N° 2117, Z/ Campesino TARIJA",BO,TARIJA ,-64.7417916,-21.5216732
TARIJA ,38,TARIJA,FONDECO IFD,Mercado Campesino Sobre Calle Froilán Tejerina Frente al Colegio Eulogio Ruiz entre Calles Hugo Mealla y Ernesto Trigo,Mercado Campesino Sobre Calle Froilán Tejerina Frente al Colegio Eulogio Ruiz entre Calles Hugo Mealla y Ernesto Trigo TARIJA,BO,TARIJA ,-64.74026110000001,-21.5183599
TARIJA ,39,TARIJA,DIACONÍA FRIF - IFD,"AVENIDA PANAMERICANA, Nº 1791, FRENTE AL MERCADO CAMPESINO, ZONA LUÍS PIZARRO.","AVENIDA PANAMERICANA, Nº 1791, FRENTE AL MERCADO CAMPESINO, ZONA LUÍS PIZARRO. TARIJA",BO,TARIJA ,-64.7423574,-21.5193481
TARIJA ,40,URIONDO,IDEPRO IFD,"Calamuchita Av. Principal S/N al lado de la cancha de fútbol, Provincia José María Avilés, Tarija.","Calamuchita Av. Principal S/N al lado de la cancha de fútbol, Provincia José María Avilés, Tarija. URIONDO",BO,TARIJA ,-64.6540169,-21.6950807
TARIJA ,41,URIONDO,IDEPRO IFD,"Calle Recreo esq. Bolívar, Plaza Principal, Valle de la Concepción, Tarija.","Calle Recreo esq. Bolívar, Plaza Principal, Valle de la Concepción, Tarija. URIONDO",BO,TARIJA ,-64.6540169,-21.6950807
TARIJA ,42,VILLA SAN LORENZO,Banco Unión S.A.,"Calle Rosendo Antelo, plaza Principal al lado de la Iglesia.","Calle Rosendo Antelo, plaza Principal al lado de la Iglesia. VILLA SAN LORENZO",BO,TARIJA ,-64.7577316,-21.4097163
TARIJA ,43,VILLAMONTES,Banco para el Fomento a Iniciativas Económicas S.A.,Calle Méndez Arcos esquina Calle Ismael Montes s/n Zona Central,Calle Méndez Arcos esquina Calle Ismael Montes s/n Zona Central VILLAMONTES,BO,TARIJA ,-63.45573049999999,-21.2685474
TARIJA ,44,VILLAMONTES,Banco Prodem S.A.,CALLE SUBTENIENTE BARRAO S/N ENTRE POTOSI Y ORURO,CALLE SUBTENIENTE BARRAO S/N ENTRE POTOSI Y ORURO VILLAMONTES,BO,TARIJA ,-65.7550063,-19.5722805
TARIJA ,45,VILLAMONTES,Banco Unión S.A.,"Avenida Ingavi, entre Avenida Heroes del Chaco y Calle Cochabamba s/n, zona central.","Avenida Ingavi, entre Avenida Heroes del Chaco y Calle Cochabamba s/n, zona central. VILLAMONTES",BO,TARIJA ,-66.1653224,-17.4139766
TARIJA ,46,VILLAMONTES,Cooperativa de Ahorro y Crédito Abierta Educadores Gran Chaco R.L.,Calle Oruro entre calles Mendez Arcos y Subtte. Barrau,Calle Oruro entre calles Mendez Arcos y Subtte. Barrau VILLAMONTES,BO,TARIJA ,-67.0931378,-17.9716723
